id,date,builtin,call,communication,entertainment,finance,game,office,other,screen,sms,social,travel,unknown,utilities,weather,mood
AS14.02,2014-03-25,0.81311,0.25,0.94269,0.78332,0.0,0.0,0.0,0.59712,0.35487,0.0,0.63317,0.0,0.0,0.0,0.0,0.94512
AS14.02,2014-03-26,0.76397,0.16667,0.9313,0.84865,0.0,0.0,0.0,0.56997,0.46447,0.0,0.93002,0.0,0.0,0.0,0.0,0.87805
AS14.02,2014-03-27,0.79125,0.08333,0.95124,0.79169,0.0,0.0,0.0,1.0,0.43978,0.0,0.55783,0.0,0.0,0.94909,0.0,0.88415
AS14.02,2014-03-28,0.71278,0.29167,0.84693,0.83835,0.0,0.0,0.0,0.73391,0.30377,0.28571,1.0,0.0,0.0,0.0,0.0,0.82927
AS14.02,2014-03-29,1.0,0.125,0.91132,0.8903,0.0,0.0,0.0,0.60422,0.33695,0.0,0.79202,0.87087,0.0,0.0,0.0,0.88415
AS14.02,2014-03-30,0.68112,0.375,0.83338,0.91383,0.0,0.0,0.0,0.71824,0.30128,0.14286,0.73099,0.0,0.0,0.0,0.0,0.85366
AS14.02,2014-03-31,0.72496,0.54167,0.92881,0.7504,0.0,0.0,0.0,0.66936,0.36533,0.28571,0.96368,0.0,0.0,0.0,0.0,0.87805
AS14.02,2014-04-01,0.81249,0.04167,0.85409,0.55645,0.0,0.0,0.0,0.79329,0.25235,0.14286,0.66493,0.81866,0.0,0.0,0.0,0.90244
AS14.02,2014-04-02,0.77657,0.04167,0.94906,0.88518,0.0,0.0,0.0,0.73755,0.52677,0.0,0.72902,0.0,0.0,0.0,0.0,0.78049
AS14.02,2014-04-03,0.73188,0.04167,0.97286,0.80593,0.0,0.0,0.0,0.61322,0.52145,0.0,0.60897,0.80733,0.0,0.0,0.0,0.70122
AS14.02,2014-04-04,0.71923,0.16667,0.94356,0.85554,0.0,0.0,0.0,0.75939,0.27957,0.0,0.62699,0.0,0.0,0.0,0.0,0.78049
AS14.02,2014-04-05,0.7762,0.33333,0.9203,0.85311,0.0,0.0,0.0,0.70092,1.0,0.14286,0.70301,0.83501,0.0,0.0,0.0,0.90244
AS14.02,2014-04-06,0.65114,0.20833,0.84493,0.82128,0.0,0.0,0.0,0.5206,0.27931,0.0,0.75529,0.0,0.0,0.0,0.0,0.54878
AS14.02,2014-04-07,0.7478,0.04167,0.97822,0.84369,0.0,0.0,0.0,0.70854,0.48719,0.0,0.96178,0.0,0.0,0.0,0.0,0.82927
AS14.02,2014-04-08,0.72483,0.375,0.91802,0.67319,0.0,0.0,0.0,0.74405,0.31215,0.14286,0.81656,0.0,0.0,0.0,0.0,0.7622
AS14.02,2014-04-09,0.74387,0.45833,0.91748,0.82297,0.0,0.0,0.0,0.62658,0.44058,0.14286,0.7193,0.0,0.0,0.0,0.0,0.88415
AS14.02,2014-04-10,0.7346,0.0,0.93999,0.83611,0.0,0.0,0.0,0.75146,0.60027,0.14286,0.80197,0.87725,0.0,0.25032,0.0,0.88415
AS14.02,2014-04-11,0.75221,0.25,0.92204,0.8371,0.0,0.0,0.0,0.74594,0.4446,0.14286,0.72971,0.90291,0.0,0.0,0.0,0.79268
AS14.02,2014-04-12,0.76914,0.20833,0.87036,0.0,0.0,0.0,0.0,0.37688,0.27998,0.14286,0.64036,0.82537,0.0,0.46707,0.0,0.73171
AS14.02,2014-04-13,0.63881,0.0,0.80234,0.75621,0.0,0.0,0.0,0.66446,0.16643,0.0,0.60964,0.71116,0.0,0.0,0.0,0.87805
AS14.02,2014-04-14,0.68593,0.29167,0.89216,0.58404,0.0,0.0,0.0,0.46981,0.2122,1.0,0.51308,0.0,0.0,1.0,0.0,0.97561
AS14.02,2014-04-15,0.47083,0.54167,0.72509,0.38678,0.0,0.0,0.0,0.0,0.05366,0.14286,0.41388,0.0,0.0,0.0,0.0,0.88415
AS14.02,2014-04-16,0.49536,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.00836,0.14286,0.0,0.0,0.0,0.0,0.0,0.81301
AS14.02,2014-04-17,0.11274,0.375,0.43408,0.0,0.0,0.0,0.0,0.0,0.00316,1.0,0.0,0.0,0.0,0.0,0.0,0.79268
AS14.02,2014-04-18,0.0,0.08333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79268
AS14.02,2014-04-19,0.24639,0.0,0.51035,0.0,0.0,0.0,0.0,0.0,0.01433,0.0,0.0,0.0,0.0,0.0,0.0,0.69106
AS14.03,2014-03-21,0.37353,0.5,0.61308,0.50909,0.0,0.0,0.32858,0.75226,0.02367,0.4,0.0,0.0,0.0,0.0,0.0,1.0
AS14.03,2014-03-22,0.51194,0.8,0.27741,0.78304,0.0,0.0,0.0,0.53759,0.12754,0.2,0.0,0.81541,0.0,0.48248,0.0,0.86667
AS14.03,2014-03-23,0.51477,0.1,0.57821,0.62674,0.58637,0.0,0.69677,0.6605,0.38277,0.2,0.0,0.89305,0.0,0.0,1.0,0.91111
AS14.03,2014-03-24,0.2951,0.3,0.6841,0.78267,0.75557,0.0,0.66191,0.80571,0.51011,0.0,0.0,0.0,0.32279,0.52191,0.0,0.86667
AS14.03,2014-03-25,0.61371,0.6,0.5424,0.57785,0.98886,0.0,0.67798,0.58539,0.24934,0.2,0.0,0.0,0.50267,0.97696,0.0,0.86667
AS14.03,2014-03-26,0.32796,0.1,0.54039,0.68503,0.72536,0.0,0.42085,0.51341,0.27002,0.0,0.0,0.4174,0.27966,0.0,0.0,0.91667
AS14.03,2014-03-27,0.53815,0.3,0.45698,0.61678,0.0,0.0,0.3652,0.49093,0.19462,0.2,0.0,0.0,0.0,0.83924,0.0,0.86111
AS14.03,2014-03-28,0.43935,0.3,0.45948,0.75305,0.0,0.0,0.52726,0.65804,0.19195,0.0,0.0,0.0,0.54067,0.59984,0.0,0.88889
AS14.03,2014-03-29,0.09419,0.0,0.0,0.69873,0.63474,0.0,0.0,0.55619,0.08698,0.2,0.0,0.0,0.0,0.0,0.0,0.95556
AS14.03,2014-03-30,0.04391,0.1,0.52606,0.65725,0.0,0.0,0.45227,0.62466,0.22573,0.0,0.0,0.0,0.46547,0.0,0.91365,0.93333
AS14.03,2014-03-31,0.70222,0.3,0.85128,0.62204,0.70658,0.0,0.0,0.54963,0.84446,0.2,0.0,0.0,0.0,0.52303,0.0,0.82222
AS14.03,2014-04-01,0.52776,0.2,0.38879,0.61358,0.6621,0.0,0.5678,0.63515,0.18721,0.0,0.0,0.0,0.0,0.0,0.0,0.84444
AS14.03,2014-04-02,0.58723,0.2,0.42481,0.65165,0.67958,0.0,0.40771,0.5497,0.20403,0.0,0.0,0.63699,0.0,0.0,0.0,0.82222
